name,size,reads,writes,comparisons,total
Bubble Sort,2,2,0,2,4
Bubble Sort,3,8,2,6,16
Bubble Sort,4,18,8,12,38
Bubble Sort,5,16,6,10,32
Bubble Sort,6,50,16,30,96
Bubble Sort,7,36,16,21,73
Bubble Sort,8,98,36,56,190
Bubble Sort,9,128,34,72,234
Bubble Sort,10,144,56,80,280
Bubble Sort,11,160,70,88,318
Bubble Sort,12,242,68,132,442
Bubble Sort,13,288,80,156,524
Bubble Sort,14,312,110,168,590
Bubble Sort,15,336,120,180,636
Bubble Sort,16,450,112,240,802
Bubble Sort,17,384,124,204,712
Bubble Sort,18,442,164,234,840
Bubble Sort,19,324,120,171,615
Bubble Sort,20,494,156,260,910
Bubble Sort,21,640,188,336,1164
Bubble Sort,22,840,212,440,1492
Bubble Sort,23,880,258,460,1598
Bubble Sort,24,1058,258,552,1868
Bubble Sort,25,816,314,425,1555
Bubble Sort,26,900,242,468,1610
Bubble Sort,27,1196,336,621,2153
Bubble Sort,28,1404,372,728,2504
Bubble Sort,29,1400,500,725,2625
Bubble Sort,30,1682,530,870,3082
Bubble Sort,31,1680,450,868,2998
Bubble Sort,32,1550,428,800,2778
Bubble Sort,33,1856,508,957,3321
Bubble Sort,34,1584,468,816,2868
Bubble Sort,35,1972,768,1015,3755
Bubble Sort,36,2100,662,1080,3842
Bubble Sort,37,2520,780,1295,4595
Bubble Sort,38,2738,766,1406,4910
Bubble Sort,39,2356,654,1209,4219
Bubble Sort,40,2262,712,1160,4134
Bubble Sort,41,2880,796,1476,5152
Bubble Sort,42,3198,810,1638,5646
Bubble Sort,43,2856,798,1462,5116
Bubble Sort,44,3526,910,1804,6240
Bubble Sort,45,2816,838,1440,5094
Bubble Sort,46,3330,1074,1702,6106
Bubble Sort,47,3496,946,1786,6228
Bubble Sort,48,3572,1232,1824,6628
Bubble Sort,49,3936,1182,2009,7127
Bubble Sort,50,3920,1076,2000,6996
Bubble Sort,51,4600,1152,2346,8098
Bubble Sort,52,4590,1434,2340,8364
Bubble Sort,53,4784,1472,2438,8694
Bubble Sort,54,5406,1362,2754,9522
Bubble Sort,55,5508,1468,2805,9781
Bubble Sort,56,4950,1464,2520,8934
Bubble Sort,57,6272,1620,3192,11084
Bubble Sort,58,6612,1524,3364,11500
Bubble Sort,59,6612,1696,3363,11671
Bubble Sort,60,5900,1672,3000,10572
Bubble Sort,61,6480,1818,3294,11592
Bubble Sort,62,6588,1982,3348,11918
Bubble Sort,63,5456,1608,2772,9836
Bubble Sort,64,7560,2210,3840,13610
Bubble Sort,65,7168,2050,3640,12858
Bubble Sort,66,7150,2202,3630,12982
Bubble Sort,67,8316,2164,4221,14701
Bubble Sort,68,7102,2196,3604,12902
Bubble Sort,69,8568,2434,4347,15349
Bubble Sort,70,7590,2120,3850,13560
Bubble Sort,71,8820,2044,4473,15337
Bubble Sort,72,9230,2572,4680,16482
Bubble Sort,73,9216,2342,4672,16230
Bubble Sort,74,9052,2942,4588,16582
Bubble Sort,75,8880,2728,4500,16108
Bubble Sort,76,10650,2994,5396,19040
Bubble Sort,77,9880,3266,5005,18151
Bubble Sort,78,9240,2588,4680,16508
Bubble Sort,79,12168,3052,6162,21382
Bubble Sort,80,10428,3242,5280,18950
Bubble Sort,81,11840,3484,5994,21318
Bubble Sort,82,12150,3424,6150,21724
Bubble Sort,83,10168,3656,5146,18970
Bubble Sort,84,12782,3824,6468,23074
Bubble Sort,85,12768,3838,6460,23066
Bubble Sort,86,13260,3472,6708,23440
Bubble Sort,87,12040,3836,6090,21966
Bubble Sort,88,15138,4032,7656,26826
Bubble Sort,89,13024,3536,6586,23146
Bubble Sort,90,13172,3704,6660,23536
Bubble Sort,91,14040,4310,7098,25448
Bubble Sort,92,15106,4004,7636,26746
Bubble Sort,93,15272,4274,7719,27265
Bubble Sort,94,15996,4686,8084,28766
Bubble Sort,95,15228,4592,7695,27515
Bubble Sort,96,15770,4824,7968,28562
Bubble Sort,97,18240,4784,9215,32239
Bubble Sort,98,16296,4308,8232,28836
Bubble Sort,99,16856,5210,8514,30580
Bubble Sort,100,19404,4388,9800,33592
Bubble Sort,101,19000,5124,9595,33719
Bubble Sort,102,18180,5178,9180,32538
Bubble Sort,103,19176,5980,9682,34838
